"dataset","split","B","nodesize","method","mse","mae","lambda","lambda_naive","leaves","n_eff","n_train"
"servo",18,100,5,"LassoRF",48.6216517251711,5.98562901019908,0.785693132771066,0.912245689925536,33.07,2.06220775456016,116
"servo",18,100,5,"LLF",25.9439057195454,3.49612195359989,0.785693132771066,0.912245689925536,33.07,2.06220775456016,116
"servo",18,500,5,"RF",46.1815975851216,5.46732544594882,0.812299995850692,0.923269835524709,32.904,2.04659495758498,116
"servo",18,500,5,"SSRF-JS",56.1308666935377,6.41125431051142,0.812299995850692,0.923269835524709,32.904,2.04659495758498,116
"servo",18,500,5,"SSRF",57.8800642603812,6.5330484068884,0.812299995850692,0.923269835524709,32.904,2.04659495758498,116
"servo",18,500,5,"SSRF-naive",50.6020322702814,5.93177411483726,0.812299995850692,0.923269835524709,32.904,2.04659495758498,116
"servo",18,500,5,"RF-tuned",36.5448733786675,4.67078036799802,0.812299995850692,0.923269835524709,32.904,2.04659495758498,116
"servo",18,500,5,"SSRF-tuned",39.2811350816762,5.0841541621177,0.812299995850692,0.923269835524709,32.904,2.04659495758498,116
"servo",18,500,5,"GBM",30.5292028330224,4.17220801450365,0.812299995850692,0.923269835524709,32.904,2.04659495758498,116
"servo",18,500,5,"LassoRF",40.0246367594163,5.07327485858483,0.812299995850692,0.923269835524709,32.904,2.04659495758498,116
"servo",18,500,5,"LLF",30.0129851224255,4.38157310741981,0.812299995850692,0.923269835524709,32.904,2.04659495758498,116
"servo",19,5,5,"RF",63.1266179375454,6.21071895424837,0.837597713475689,0.929732477856605,34,1.97500923993548,116
"servo",19,5,5,"SSRF-JS",70.0353647295418,7.02264469435904,0.837597713475689,0.929732477856605,34,1.97500923993548,116
"servo",19,5,5,"SSRF",70.1016551155452,6.98098394031725,0.837597713475689,0.929732477856605,34,1.97500923993548,116
"servo",19,5,5,"SSRF-naive",65.1226236144373,6.5435798524638,0.837597713475689,0.929732477856605,34,1.97500923993548,116
"servo",19,10,5,"RF",90.9635270514441,7.7395818228326,0.868367909106339,0.947111939828186,32.9,2.05219774246057,116
"servo",19,10,5,"SSRF-JS",96.1733394445812,8.22531484028041,0.868367909106339,0.947111939828186,32.9,2.05219774246057,116
"servo",19,10,5,"SSRF",96.6921450144599,8.31041107712149,0.868367909106339,0.947111939828186,32.9,2.05219774246057,116
"servo",19,10,5,"SSRF-naive",93.4351352058272,7.99068853577315,0.868367909106339,0.947111939828186,32.9,2.05219774246057,116
"servo",19,25,5,"RF",79.1956146854852,6.76363992265449,0.828486721822305,0.930855047553132,33.76,1.98747720736725,116
"servo",19,25,5,"SSRF-JS",88.9460493549553,7.58581973515279,0.828486721822305,0.930855047553132,33.76,1.98747720736725,116
"servo",19,25,5,"SSRF",92.3204384309967,7.78612671345568,0.828486721822305,0.930855047553132,33.76,1.98747720736725,116
"servo",19,25,5,"SSRF-naive",84.7082038175915,7.19511925716396,0.828486721822305,0.930855047553132,33.76,1.98747720736725,116
"servo",19,25,5,"RF-tuned",54.7026281101528,5.68583097077215,0.828486721822305,0.930855047553132,33.76,1.98747720736725,116
"servo",19,25,5,"SSRF-tuned",57.2307735012559,5.90845122869445,0.828486721822305,0.930855047553132,33.76,1.98747720736725,116
"servo",19,25,5,"GBM",55.5543938607997,5.84802030587332,0.828486721822305,0.930855047553132,33.76,1.98747720736725,116
"servo",19,25,5,"LassoRF",77.5324610575985,6.66871223240427,0.828486721822305,0.930855047553132,33.76,1.98747720736725,116
"servo",19,25,5,"LLF",32.4835166178223,3.85302111141981,0.828486721822305,0.930855047553132,33.76,1.98747720736725,116
"servo",19,100,5,"RF",53.2932731786656,6.28014285930078,0.820370782919708,0.926203064924074,32.56,2.05223383138,116
"servo",19,100,5,"SSRF-JS",63.6750615082311,6.98242716419062,0.820370782919708,0.926203064924074,32.56,2.05223383138,116
"servo",19,100,5,"SSRF",64.6008815717833,7.0534604081751,0.820370782919708,0.926203064924074,32.56,2.05223383138,116
