source,dataset,B,n,p,r2,lam,gain,win,pval,reps,p_holm
Python,swiss,500,47,5,0.40713099448889,0.8714089984934228,5.508135791870972,8.0,0.9999998509883881,25,1.0
R,airquality,5,111,5,0.6217233229583228,0.9008499567723116,2.1901018457912147,33.33333333333333,0.9827316328883171,30,1.0
R,airquality,10,111,5,0.6613976389227995,0.9003427283299056,6.131669233402926,0.0,1.0,30,1.0
R,airquality,25,111,5,0.669407103052961,0.8953149280525311,7.21148046842629,13.333333333333334,0.9999999348074198,30,1.0
R,airquality,100,111,5,0.7543983052639446,0.8939222734508844,9.356358067329118,6.666666666666667,0.9999999972060323,30,1.0
R,airquality,500,111,5,0.7139044759087727,0.8956418802350087,7.837876227577734,6.666666666666667,0.9999999972060323,30,1.0
R,attitude,5,30,6,0.3984237083121799,0.9457946593513163,-0.11808266271989831,56.666666666666664,0.342523536644876,30,1.0
R,attitude,10,30,6,0.3767752747559794,0.9439100074687921,1.0189380701722373,33.33333333333333,0.9147008024156094,30,1.0
R,attitude,25,30,6,0.5118905545715138,0.9411691103755863,1.2668538142964092,30.0,0.9969025040045381,30,1.0
R,attitude,100,30,6,0.5282628598544109,0.9394516571976935,1.8495704928403134,23.333333333333332,0.9994342727586627,30,1.0
R,attitude,500,30,6,0.45512978187223807,0.9405259276391315,2.171819046250545,20.0,0.9953494388610125,30,1.0
R,boston,5,506,14,0.8228565891070452,0.9735021432108856,1.1084145961374081,20.0,0.9999383315443993,30,1.0
R,boston,10,506,14,0.8633339227800114,0.9705498255221222,3.1584613700801234,3.3333333333333335,0.9999999972060323,30,1.0
R,boston,25,506,14,0.8617865713192802,0.97149248398384,3.002717796236787,0.0,1.0,30,1.0
R,boston,100,506,14,0.8658003439948575,0.9710315447210435,3.8637487438831664,0.0,1.0,30,1.0
R,boston,500,506,14,0.8589353433661151,0.9722866107028193,3.435562290850225,0.0,1.0,30,1.0
R,cpus,5,209,6,0.8911809475177406,0.9564713929783555,2.342043117582626,40.0,0.9540251865983009,30,1.0
R,cpus,10,209,6,0.8576602358166773,0.9511602768606422,4.30370974870401,20.0,0.9999383315443993,30,1.0
R,cpus,25,209,6,0.882155040467749,0.9571040685957994,6.328804921562803,13.333333333333334,0.9999970132485032,30,1.0
R,cpus,100,209,6,0.854766776998922,0.9557753132847623,7.195197681160326,20.0,0.9999986188486218,30,1.0
R,cpus,500,209,6,0.8519693247540191,0.956187663956292,6.777091439037597,13.333333333333334,0.9999983804300427,30,1.0
R,mcycle,5,133,1,0.6823827846067527,0.9311298682217131,-1.2802685398445035,56.666666666666664,0.169370892457664,30,0.508112677372992
R,mcycle,10,133,1,0.6545859801405753,0.9350234241780135,-3.110908154182784,73.33333333333333,0.0007916418835520744,30,0.003958209417760372
R,mcycle,25,133,1,0.6800940792985486,0.92816947407212,-0.09041506489431139,50.0,0.3277192125096917,30,0.6554384250193834
R,mcycle,100,133,1,0.6915138687042459,0.9296421357752874,-1.5427179259321633,66.66666666666666,0.05019867792725563,30,0.20079471170902252
R,mcycle,500,133,1,0.7119609449278055,0.9271896195621326,0.5922924427026688,43.333333333333336,0.657476463355124,30,0.657476463355124
R,ozone,5,203,25,0.6324220739876476,0.9229982119203153,1.941358884792821,20.0,0.999790801666677,30,1.0
R,ozone,10,203,25,0.6962659925452888,0.9288378748445726,2.9355471638565445,16.666666666666664,0.999986557289958,30,1.0
R,ozone,25,203,25,0.6978388055262331,0.9265349763713718,4.595495174293784,6.666666666666667,0.999999969266355,30,1.0
R,ozone,100,203,25,0.6923870180817684,0.9260500444529719,4.151127728414494,6.666666666666667,0.999999993480742,30,1.0
R,ozone,500,203,25,0.7259155194466773,0.9271705025983092,3.9640485535478276,10.0,0.9999999487772584,30,1.0
R,savings,5,50,4,0.07208698042017536,0.8384249690679055,-3.816568165818923,70.0,0.0026913899928331375,30,0.013456949964165688
R,savings,10,50,4,0.048334847667465985,0.8276403392482722,-1.262265592683437,60.0,0.06467653810977936,30,0.25870615243911743
R,savings,25,50,4,0.21156044367946747,0.8425343934410938,-0.5920804472384245,60.0,0.08529919758439064,30,0.25870615243911743
R,savings,100,50,4,0.2351598518343947,0.8454415872144723,-0.6120104189428655,50.0,0.21397730335593224,30,0.2710056286305189
R,savings,500,50,4,0.22455994582408167,0.8400835803032691,0.016635123201003132,50.0,0.13550281431525946,30,0.2710056286305189
R,servo,5,167,16,0.645942020385895,0.828122689941909,7.313462518013846,23.333333333333332,0.9999647159129381,30,1.0
R,servo,10,167,16,0.6676014907001369,0.8381511046064699,10.520022421484786,3.3333333333333335,0.9999999990686774,30,1.0
R,servo,25,167,16,0.6816337684483744,0.8335506264102053,12.165062276071225,0.0,1.0,30,1.0
R,servo,100,167,16,0.7284572813398907,0.8206365237818845,21.853106366306875,0.0,1.0,30,1.0
R,servo,500,167,16,0.720608072187706,0.822849456496611,18.000420533212758,0.0,1.0,30,1.0
R,swiss,5,47,5,0.3028249517888605,0.8793307766338875,1.2068312796651326,43.333333333333336,0.8972951536998153,30,1.0
R,swiss,10,47,5,0.5127265490226917,0.8859018170872116,2.5430100669141753,23.333333333333332,0.9992083581164479,30,1.0
R,swiss,25,47,5,0.4949802615088751,0.8923381642728662,4.399221647859641,16.666666666666664,0.9999647159129381,30,1.0
R,swiss,100,47,5,0.48469426478777033,0.885448386484335,4.709351527089279,16.666666666666664,0.9999953899532557,30,1.0
R,swiss,500,47,5,0.5233114589271923,0.8807907894102645,6.93465359106461,13.333333333333334,0.9999988256022334,30,1.0
