experiment,dgp,n,p,B,min_leaf,rep,snr,method,mse,mae,mse_true,coverage,interval_score,interval_width,dm_stat,dm_p,runtime,lam_eb,lam_js,leaves,n_eff,sigma2,tau2,tuned_leaf,tuned_mtry
extended,dgp1,1200,20,25,5,4,0.1462787066419191,LassoRF,1.424712570846326,0.8563988378629503,0.10076084603922938,0.954,6.528549257253327,4.742166342205729,1.7720339932063232,0.07669367265622576,0.0623488470000666,0.855128659342772,0.8542270491552351,191.56,3.4623467854608387,0.47508778864877643,0.7957193041346055,10,10
extended,dgp1,1200,20,25,5,4,0.1462787066419191,GBM,1.424305619483451,0.8627560104996288,0.11528714416744788,0.944,6.481733698588532,4.690861783514107,1.6074715930610433,0.10826694037145596,0.4320411580001746,0.855128659342772,0.8542270491552351,191.56,3.4623467854608387,0.47508778864877643,0.7957193041346055,10,10
extended,dgp1,1200,20,25,5,4,0.1462787066419191,RF-tuned,1.3792550938233938,0.844592659273031,0.08053648613634144,0.942,6.476054769055953,4.362605381320016,-0.5167662120039583,0.6054337476275614,3.6345565940000597,0.855128659342772,0.8542270491552351,191.56,3.4623467854608387,0.47508778864877643,0.7957193041346055,10,10
extended,dgp1,1200,20,25,5,4,0.1462787066419191,SSRF-tuned,1.385014772806888,0.8422052960715182,0.0735710239830186,0.942,6.582030202483632,4.487093215819585,-0.1919938492521662,0.8477860411560519,3.8248474399997576,0.855128659342772,0.8542270491552351,191.56,3.4623467854608387,0.47508778864877643,0.7957193041346055,10,10
extended,dgp1,1200,20,25,5,4,0.1462787066419191,LLF,1.3677768701350872,0.8326770436275638,0.057180516708418144,0.952,6.497971747800285,4.511335335388899,-1.2991343295666657,0.19419757928394493,2.6148063690006893,0.855128659342772,0.8542270491552351,191.56,3.4623467854608387,0.47508778864877643,0.7957193041346055,10,10
extended,dgp1,1200,20,25,5,4,0.1462787066419191,BART,1.360817255208674,0.8387141044037758,0.07239840655576904,0.936,6.5219626544853915,4.353490488286907,-1.5094959631621478,0.13148828536987767,30.23187771299945,0.855128659342772,0.8542270491552351,191.56,3.4623467854608387,0.47508778864877643,0.7957193041346055,10,10
extended,dgp1,1200,20,25,5,4,0.1462787066419191,NGBoost,1.3997436124496043,0.8499971813037294,0.07635490911221211,0.94,6.600084550773909,4.480896626431118,0.6198338111285433,0.5355085522785042,1.7280203480004275,0.855128659342772,0.8542270491552351,191.56,3.4623467854608387,0.47508778864877643,0.7957193041346055,10,10
extended,dgp1,1200,20,25,5,5,0.1214871504128231,RF,1.2948577646275694,0.8319424297401913,0.09197074041435818,0.944,5.5833506075019015,4.339033160079181,2.3625079610023545,0.018342632192172678,0.1535383840000577,0.8272195655726358,0.8257806648855288,191.68,3.4379525708704395,0.6222124183083826,0.8449249797955022,20,10
extended,dgp1,1200,20,25,5,5,0.1214871504128231,SSRF,1.2818416126042789,0.8252042897901205,0.08110666677318171,0.948,5.584658831045978,4.346124809964648,-0.6612894271507461,0.5085792017607876,0.1535383840000577,0.8272195655726358,0.8257806648855288,191.68,3.4379525708704395,0.6222124183083826,0.8449249797955022,20,10
extended,dgp1,1200,20,25,5,5,0.1214871504128231,SSRF-JS,1.2823822355798866,0.8256857990988195,0.08156479767978538,0.948,5.585489719865145,4.351403814705832,,,0.1535383840000577,0.8272195655726358,0.8257806648855288,191.68,3.4379525708704395,0.6222124183083826,0.8449249797955022,20,10
extended,dgp1,1200,20,25,5,5,0.1214871504128231,RF-H,1.3175097057312446,0.8379537775162913,0.09803052908379459,0.956,5.742048956301305,4.6482723909949275,1.738725848247975,0.08239106373511831,0.05510826200043084,0.8272195655726358,0.8257806648855288,191.68,3.4379525708704395,0.6222124183083826,0.8449249797955022,20,10
