experiment,dgp,n,p,B,min_leaf,rep,rule,mean_abs_C,mean_bound,rel_C,s_lambda,identity_err,mse_true,mse_common
heterogeneity,dgp1,300,10,500,5,0,JS,0.0017262862373138908,0.04352385552247473,0.0051631190284899,0.049403243869338025,2.220446049250313e-16,0.06797509661935679,0.0679395611938518
heterogeneity,dgp1,300,10,500,5,1,EB,0.00272535177892916,0.05875492671875825,0.008574320961640536,0.06792554925932731,4.440892098500626e-16,0.06395493593966221,0.06432564040670989
heterogeneity,dgp1,300,10,500,5,1,JS,0.00134595179453536,0.031101241671217833,0.004234544242863486,0.03594358677094523,4.440892098500626e-16,0.06434115571530886,0.06436112183962527
heterogeneity,dgp1,300,10,500,5,2,EB,0.002959664312858031,0.06493810054242144,0.007985200837302366,0.07275694521309249,4.440892098500626e-16,0.06565830758393389,0.06602651129136965
heterogeneity,dgp1,300,10,500,5,2,JS,0.001865854440639552,0.036521552931567634,0.005034092000552488,0.04094471385531077,3.3306690738754696e-16,0.06651952043187644,0.06635966445262122
heterogeneity,dgp1,300,10,500,5,3,EB,0.003297433676730966,0.06955190084154136,0.010574816001688895,0.07020356591274854,3.3306690738754696e-16,0.14720541082746644,0.14786052868600022
heterogeneity,dgp1,300,10,500,5,3,JS,0.001543622637403384,0.03622384536487175,0.004950372613033252,0.036593387363341875,3.3306690738754696e-16,0.14870324658109718,0.14847692407373092
heterogeneity,dgp1,300,10,500,5,4,EB,0.0025712840062733556,0.056949918269145666,0.00744682209276539,0.06908458543917524,4.440892098500626e-16,0.08015064502240572,0.08029240311588064
heterogeneity,dgp1,300,10,500,5,4,JS,0.0016221058981011303,0.03277489954820227,0.00469786068334466,0.03977970834525209,4.440892098500626e-16,0.0806246072298577,0.08057568178413325
heterogeneity,dgp1,300,10,500,5,5,EB,0.0035093484749496515,0.06765102151144671,0.008747809081068468,0.0732060297759916,3.3306690738754696e-16,0.07872545791799274,0.07917835655595327
heterogeneity,dgp1,300,10,500,5,5,JS,0.0021030427956638797,0.04127476773727298,0.005242288418236393,0.044712487157735153,3.3306690738754696e-16,0.07989421773794307,0.07987989960492453
heterogeneity,dgp1,300,10,500,5,6,EB,0.004522531108347376,0.07949579651485064,0.014240644379442632,0.08710159635307996,3.3306690738754696e-16,0.08754344444894986,0.0886682903478191
heterogeneity,dgp1,300,10,500,5,6,JS,0.0028963219974174467,0.055378913699580846,0.009120001739170071,0.06080809737351345,4.440892098500626e-16,0.08805012156777835,0.08865030380993565
heterogeneity,dgp1,300,10,500,5,7,EB,0.0028006013399754334,0.054741638087591284,0.009329974729358105,0.06772363996079124,4.440892098500626e-16,0.09699761962369219,0.09736535088159778
heterogeneity,dgp1,300,10,500,5,7,JS,0.0015501864891700437,0.030177343814369352,0.0051643197349451175,0.03738267100661588,4.440892098500626e-16,0.09806616805190033,0.09786023256798287
heterogeneity,dgp1,300,10,500,5,8,EB,0.0022629992021206895,0.04929421541272386,0.007132260711118174,0.060512739755278135,4.440892098500626e-16,0.0706285601366062,0.0708786706472543
heterogeneity,dgp1,300,10,500,5,8,JS,0.0010732709981818354,0.02461839426716529,0.00338261213947465,0.0302483505831512,5.551115123125783e-16,0.07097732202865734,0.07102030657408462
heterogeneity,dgp1,300,10,500,5,9,EB,0.0029639024710615774,0.060373372837604834,0.009574972380327503,0.06686532443428174,3.3306690738754696e-16,0.08377565001987503,0.08408444600443225
heterogeneity,dgp1,300,10,500,5,9,JS,0.0012971791787754513,0.031138668609602987,0.004190574733946032,0.03450471218782815,4.440892098500626e-16,0.08451332535288351,0.08438599056958906
heterogeneity,dgp1,300,10,500,5,10,EB,0.0023549188271247442,0.05308802317710968,0.006958955992961306,0.06140986344832585,4.440892098500626e-16,0.06728258595744996,0.06763927639838092
heterogeneity,dgp1,300,10,500,5,10,JS,0.0012001968526010865,0.027067178322185338,0.003546668778532468,0.03134358261035333,4.440892098500626e-16,0.06782362444012735,0.06780327931468111
heterogeneity,dgp1,300,10,500,5,11,EB,0.0024917372896952226,0.052929954647731974,0.007662795113787979,0.06421638443793277,2.7755575615628914e-16,0.06566250408588381,0.0657708357917841
