dgp,n,p,B,method,mse_true,mse,coverage,isc,rt,reps
dgp2,600,20,10,RF-tuned,0.04418669921522815,0.7218227151782597,0.947,4.834388472526912,4.11486159500007,10
dgp2,600,20,10,RidgeRF,0.0835790365172568,0.7436957792488367,0.947,4.860970080031664,0.24718263050003766,10
dgp2,600,20,10,SSRF,0.06879469657342599,0.744697185433217,0.947,4.895352039080982,0.06650138770005463,10
dgp2,600,20,10,SSRF-H,0.0906985559138822,0.7675962755543781,0.948,4.889849740665351,0.029466595800022283,10
dgp2,600,20,10,SSRF-JS,0.07021051395461625,0.7469785464598179,0.946,4.901852157450725,0.06650138770005463,10
dgp2,600,20,10,SSRF-JS-H,0.08882983137503606,0.7675277394833964,0.949,4.90276118533592,0.029466595800022283,10
dgp2,600,20,10,SSRF-rob,0.07596481988326001,0.753472276108929,0.948,4.9137074819306905,0.08465826059998557,10
dgp2,600,20,10,SSRF-tuned,0.0440122084874886,0.7276902750350168,0.945,4.8769767825388906,4.174298159500085,10
dgp2,600,20,500,GBM,0.05593848169768885,0.7417457848452544,0.947,4.7196671460032515,0.29709577650003205,10
dgp2,600,20,500,LassoRF,0.03363589838495605,0.7124340595210079,0.944,4.654274078030536,1.2286561081000174,10
dgp2,600,20,500,RF,0.03830732065062445,0.7196352154471138,0.948,4.664221063119982,3.1578797449999683,10
dgp2,600,20,500,RF-H,0.051679615151043204,0.7327823859015743,0.946,4.697098776294496,1.402456491500061,10
dgp2,600,20,500,RF-tuned,0.02923157538351505,0.7112690671755593,0.95,4.673093486551879,5.868920977200014,10
dgp2,600,20,500,RidgeRF,0.0447126747777877,0.7208652285859852,0.948,4.624031675770128,2.2109024721000425,10
dgp2,600,20,500,SSRF,0.03815560875613275,0.7200755615550046,0.947,4.662786462331706,3.1578797449999683,10
dgp2,600,20,500,SSRF-H,0.08572600535607044,0.7695281404381151,0.946,4.764823258921676,1.402456491500061,10
dgp2,600,20,500,SSRF-JS,0.0381865748433989,0.7200622570328967,0.947,4.66256811845493,3.1578797449999683,10
dgp2,600,20,500,SSRF-JS-H,0.0852289813740052,0.7687775331077231,0.946,4.762978343530197,1.402456491500061,10
dgp2,600,20,500,SSRF-rob,0.0376496490875138,0.7200079063547566,0.947,4.66263081836216,4.123661871800005,10
dgp2,600,20,500,SSRF-tuned,0.03239930489120725,0.7123730929638759,0.95,4.676817224260439,9.035084031099995,10
dgp2,1200,20,10,GBM,0.04267244252455395,0.7064558522390721,0.9475,4.848238826528335,0.5056927567999991,10
dgp2,1200,20,10,LassoRF,0.049622722948717,0.6945818082231048,0.9541666666666666,4.777685066091224,0.10622887669996994,10
dgp2,1200,20,10,RF,0.06773835989488425,0.7158893426447868,0.9516666666666667,4.854111066197332,0.12782327259992593,10
dgp2,1200,20,10,RF-H,0.06577085285160411,0.7214761364901668,0.9441666666666666,4.859782630914127,0.04724564050002295,10
dgp2,1200,20,10,RF-tuned,0.026438567323229252,0.6661079681915254,0.9483333333333334,4.761856964759792,7.0065838932000135,10
dgp2,1200,20,10,RidgeRF,0.07375876152497304,0.7211239111982,0.9500000000000001,4.837995808119756,0.4265653383999961,10
