dgp,min_leaf,B,gain_js,gain_eb,se,win,p,reps,p_holm
dgp1,5,250,-5.719597325632492,-5.920013408477203,1.4582480643322662,76.66666666666667,1.952052116394043e-05,30,0.00017568469047546387
dgp1,5,500,-5.297851590569586,-5.520769357438709,1.826551179266984,76.66666666666667,0.00020919833332300186,30,0.001464388333261013
dgp1,20,1,-24.99341690201345,-28.63836395351798,0.7151623975644591,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp1,20,3,-17.035202696624786,-19.170774129518342,0.7875981766275452,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp1,20,5,-13.123941030447167,-14.493378747392743,0.8395398969056537,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp1,20,10,-8.51047294642554,-9.327675675633344,0.9392007885665697,96.66666666666667,6.51925802230835e-09,30,1.2386590242385864e-07
dgp1,20,25,-2.0983893790251065,-2.0014421990264877,1.0167579399829938,66.66666666666666,0.02132585272192955,30,0.3412136435508728
dgp1,20,50,1.057017402605409,2.053890334413644,1.0170360717869538,43.333333333333336,0.7219433626160026,30,1.0
dgp1,20,100,2.7914266962980827,3.571383733999267,1.6637917691841873,36.666666666666664,0.9298584796488285,30,1.0
dgp1,20,250,3.3017979817720033,4.372866036859935,1.6243063571704563,33.33333333333333,0.9845075951889157,30,1.0
dgp1,20,500,4.187714035218171,5.403863422916865,1.5042621674338204,33.33333333333333,0.9895750740543008,30,1.0
dgp2,2,1,-41.011042851310776,-44.772496898843286,2.510566982989371,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp2,2,3,-37.188964450637,-38.58475368502199,1.3906266228710995,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp2,2,5,-34.1549362171167,-35.45346179972553,1.4158116410553154,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp2,2,10,-29.243467761735225,-30.346194214741516,1.656023244786554,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp2,2,25,-20.387478880672155,-21.36561542221454,1.730067911363638,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp2,2,50,-14.202965362821113,-14.828625999455042,1.6428387094441135,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp2,2,100,-11.203244753858943,-11.649079980080767,1.203733890164782,96.66666666666667,4.6566128730773926e-09,30,3.259629011154175e-08
dgp2,2,250,-8.997870212695657,-9.45422696067882,1.3522850766908727,90.0,6.51925802230835e-08,30,3.91155481338501e-07
