experiment,dgp,n,p,B,min_leaf,rep,method,mse,mae,mse_true,lam_js,leaves,snr
substitution,dgp1,600,10,5,2,3,RF,1.4461378462826893,0.9018380501875345,0.26968280770575065,0.79537793614638,233.2,0.15319213544853172
substitution,dgp1,600,10,5,2,3,SSRF,1.3603310041391314,0.8685503086719708,0.17761595612770406,0.79537793614638,233.2,0.15319213544853172
substitution,dgp1,600,10,5,2,3,SSRF-JS,1.3635613218905032,0.8701972137009852,0.17982855322716357,0.79537793614638,233.2,0.15319213544853172
substitution,dgp1,600,10,10,2,3,RF,1.3309512570412367,0.8505497553564143,0.17741496447628935,0.80270574102065,232.1,0.15319213544853172
substitution,dgp1,600,10,10,2,3,SSRF,1.2868008500513046,0.8340008268168825,0.12310726006451726,0.80270574102065,232.1,0.15319213544853172
substitution,dgp1,600,10,10,2,3,SSRF-JS,1.2884158469466473,0.8345877340515107,0.12430193381146674,0.80270574102065,232.1,0.15319213544853172
substitution,dgp1,600,10,25,2,3,RF,1.26709223269354,0.8286232243393185,0.1158992574279474,0.8031458139153768,232.52,0.15319213544853172
substitution,dgp1,600,10,25,2,3,SSRF,1.2453395336491695,0.8201270911734303,0.08352731211869178,0.8031458139153768,232.52,0.15319213544853172
substitution,dgp1,600,10,25,2,3,SSRF-JS,1.2461448006230202,0.8206582372348904,0.08405495550486071,0.8031458139153768,232.52,0.15319213544853172
substitution,dgp1,600,10,50,2,3,RF,1.2436999630526346,0.8213650386309064,0.08889698824201601,0.8059479383789346,232.82,0.15319213544853172
substitution,dgp1,600,10,50,2,3,SSRF,1.2322188295573238,0.8153477807893756,0.06803740921989825,0.8059479383789346,232.82,0.15319213544853172
substitution,dgp1,600,10,50,2,3,SSRF-JS,1.2327966197051028,0.8156510095233775,0.068180657465967,0.8059479383789346,232.82,0.15319213544853172
substitution,dgp1,600,10,100,2,3,RF,1.2386723422551067,0.8203143876996674,0.08299650751400918,0.802519375683561,233.2,0.15319213544853172
substitution,dgp1,600,10,100,2,3,SSRF,1.2299265916383368,0.814676332146606,0.06470460661015762,0.802519375683561,233.2,0.15319213544853172
substitution,dgp1,600,10,100,2,3,SSRF-JS,1.2301788028350833,0.8148679918024915,0.06493760460387296,0.802519375683561,233.2,0.15319213544853172
substitution,dgp1,600,10,250,2,3,RF,1.2379685767422524,0.8212813195380749,0.08112729976620614,0.8032123973239168,233.42,0.15319213544853172
substitution,dgp1,600,10,250,2,3,SSRF,1.229483136084887,0.816602136556731,0.06357161251515445,0.8032123973239168,233.42,0.15319213544853172
substitution,dgp1,600,10,250,2,3,SSRF-JS,1.2298270713248693,0.816778777287597,0.06395350082263902,0.8032123973239168,233.42,0.15319213544853172
substitution,dgp1,600,10,500,2,3,RF,1.2329770991278055,0.8174675379879152,0.07777502590642772,0.8015872649791365,233.296,0.15319213544853172
substitution,dgp1,600,10,500,2,3,SSRF,1.2251785582628054,0.813921721543394,0.060498999910338226,0.8015872649791365,233.296,0.15319213544853172
substitution,dgp1,600,10,500,2,3,SSRF-JS,1.2254887800380068,0.8140791592475058,0.06089689685222468,0.8015872649791365,233.296,0.15319213544853172
substitution,dgp1,600,10,1,2,4,RF,2.4893804873773226,1.1782715343151018,1.3470087439194394,0.7426330217195634,233.0,0.1309754373923168
substitution,dgp1,600,10,1,2,4,SSRF,1.9319392032219418,1.0363688332200438,0.7812116784062143,0.7426330217195634,233.0,0.1309754373923168
