experiment,dgp,n,p,B,min_leaf,rep,method,mse,mse_true,runtime,lam_tree,lam_cv,lam_ij,lam_oracle,lam_local_mean
calibration,dgp1,300,10,10,5,9,Cal-CV,1.385415938158154,0.12010881560618505,0.07749922599987258,0.7819726357814988,0.5912513356932385,0.11755908654257788,0.52,0.6312840517419389
calibration,dgp1,300,10,10,5,9,Cal-CV-local,1.381019687070228,0.12273988227601497,0.07749922599987258,0.7819726357814988,0.5912513356932385,0.11755908654257788,0.52,0.6312840517419389
calibration,dgp1,300,10,10,5,9,Cal-IJ,1.4116825879112118,0.14752435442346756,0.017286164999859466,0.7819726357814988,0.5912513356932385,0.11755908654257788,0.52,0.6312840517419389
calibration,dgp1,300,10,10,5,10,RF,1.519977551163019,0.1972185168942383,0.012087804999964646,0.7816699626177764,0.4353162048589174,0.07915821955216126,0.37,0.44632965029357125
calibration,dgp1,300,10,10,5,10,SSRF-JS,1.485516949343524,0.1588532645029834,0.012087804999964646,0.7816699626177764,0.4353162048589174,0.07915821955216126,0.37,0.44632965029357125
calibration,dgp1,300,10,10,5,10,Cal-CV,1.460666595150119,0.12835614272844584,0.07365391500002261,0.7816699626177764,0.4353162048589174,0.07915821955216126,0.37,0.44632965029357125
calibration,dgp1,300,10,10,5,10,Cal-CV-local,1.4693415210528304,0.13167190852650348,0.07365391500002261,0.7816699626177764,0.4353162048589174,0.07915821955216126,0.37,0.44632965029357125
calibration,dgp1,300,10,10,5,10,Cal-IJ,1.481417643459501,0.14308291005893659,0.016685466999888376,0.7816699626177764,0.4353162048589174,0.07915821955216126,0.37,0.44632965029357125
calibration,dgp1,300,10,10,5,11,RF,1.3581425555440227,0.1301270771000898,0.011931325999967157,0.8203568289316843,0.5685196977007566,0.16965370174144861,0.58,0.5588303510509776
calibration,dgp1,300,10,10,5,11,SSRF-JS,1.336726664342968,0.11095687268413437,0.011931325999967157,0.8203568289316843,0.5685196977007566,0.16965370174144861,0.58,0.5588303510509776
calibration,dgp1,300,10,10,5,11,Cal-CV,1.3191880878632256,0.0983563810424175,0.07519670499982567,0.8203568289316843,0.5685196977007566,0.16965370174144861,0.58,0.5588303510509776
calibration,dgp1,300,10,10,5,11,Cal-CV-local,1.3301725698244824,0.10352690659491277,0.07519670499982567,0.8203568289316843,0.5685196977007566,0.16965370174144861,0.58,0.5588303510509776
calibration,dgp1,300,10,10,5,11,Cal-IJ,1.3423204664734092,0.1281295314512978,0.01631848500005617,0.8203568289316843,0.5685196977007566,0.16965370174144861,0.58,0.5588303510509776
calibration,dgp1,300,10,10,5,12,RF,1.539594512997751,0.18907098955118876,0.011970709000024726,0.7776776164876603,0.30717440310067384,0.3156173959045307,0.44,0.3406916150806555
calibration,dgp1,300,10,10,5,12,SSRF-JS,1.5073686468101515,0.15679104071182254,0.011970709000024726,0.7776776164876603,0.30717440310067384,0.3156173959045307,0.44,0.3406916150806555
calibration,dgp1,300,10,10,5,12,Cal-CV,1.4916310184269042,0.1415226874655528,0.07059485600007065,0.7776776164876603,0.30717440310067384,0.3156173959045307,0.44,0.3406916150806555
