dataset,n,p,split,B,method,mse,mae,runtime,lam,lam_naive,leaves,n_eff,n_train
airquality,111,5,3,10,SSRF-JS,211.09922590955844,12.029384858193472,0.012087857999858898,0.8803511290876737,0.9346198352643036,11.7,3.707669498495324,78
airquality,111,5,3,10,SSRF,217.56923420208747,12.132528827527493,0.012087857999858898,0.8803511290876737,0.9346198352643036,11.7,3.707669498495324,78
airquality,111,5,3,10,SSRF-naive,205.7000976136833,11.921309038830406,0.013156919000039125,0.8803511290876737,0.9346198352643036,11.7,3.707669498495324,78
airquality,111,5,3,10,SSRF-rob,206.50427686868252,11.945634957096212,0.023472952000020086,0.8803511290876737,0.9346198352643036,11.7,3.707669498495324,78
airquality,111,5,3,25,RF,388.44323920239384,14.716708750152602,0.027984548999938852,0.8771979573880533,0.931169896185133,11.64,3.685295574923551,78
airquality,111,5,3,25,SSRF-JS,456.48868389926344,15.847908354367553,0.027984548999938852,0.8771979573880533,0.931169896185133,11.64,3.685295574923551,78
airquality,111,5,3,25,SSRF,477.75751244782714,16.212919862992887,0.027984548999938852,0.8771979573880533,0.931169896185133,11.64,3.685295574923551,78
airquality,111,5,3,25,SSRF-naive,425.05445784616404,15.32784612062918,0.0341917260000173,0.8771979573880533,0.931169896185133,11.64,3.685295574923551,78
airquality,111,5,3,25,SSRF-rob,424.9163738549221,15.301798128249565,0.052823070999920674,0.8771979573880533,0.931169896185133,11.64,3.685295574923551,78
airquality,111,5,3,25,RF-tuned,306.7136983451521,13.884402597402598,1.6551084249999803,0.8771979573880533,0.931169896185133,11.64,3.685295574923551,78
airquality,111,5,3,25,SSRF-tuned,355.11400395033803,14.28607486847153,1.69050204999985,0.8771979573880533,0.931169896185133,11.64,3.685295574923551,78
airquality,111,5,3,25,LassoRF,492.2412946574408,17.05078159208935,0.06091946099991219,0.8771979573880533,0.931169896185133,11.64,3.685295574923551,78
airquality,111,5,3,25,GBM,248.40573904918142,12.868556759016625,0.08284058599997479,0.8771979573880533,0.931169896185133,11.64,3.685295574923551,78
