"experiment","dgp","n","p","B","min_leaf","rep","snr","method","mse","mae","mse_true","coverage","interval_score","interval_width","dm_stat","dm_p","runtime","lambda","lambda_naive","leaves","n_eff","tuned_nodesize"
"grid","dgp1",600,20,10,5,2,0.131749833958373,"GBM",1.21339006010426,0.820956367885035,0.0614820320250097,0.968,6.02969227054421,5.15370764879459,-5.1229925403918,3.60820637568508e-07,0.107999999999997,0.918688750118101,0.97536512155854,204.1,1.73984618974676,80
"grid","dgp1",600,20,10,5,2,0.131749833958373,"RF-tuned",1.21630554143746,0.814792885798891,0.0865342990629648,0.954,5.98473274330916,4.87037957323649,-5.16515808197526,2.89923212683974e-07,2.062,0.918688750118101,0.97536512155854,204.1,1.73984618974676,80
"grid","dgp1",600,20,10,5,2,0.131749833958373,"SSRF-tuned",1.2212091033904,0.8266983245503,0.0900660014449447,0.968,5.94716556103791,4.97804618210008,-5.04153779920065,5.4812017472411e-07,2.081,0.918688750118101,0.97536512155854,204.1,1.73984618974676,80
"grid","dgp1",600,20,500,5,2,0.131749833958373,"RF",1.21749473284465,0.823123095076647,0.0746214711793681,0.948,5.94996232622473,4.69714253051173,2.26556828146912,0.0236912042759696,1.952,0.916212066147297,0.974541016093996,203.406,1.74434952948861,80
"grid","dgp1",600,20,500,5,2,0.131749833958373,"SSRF-JS",1.21148755725464,0.819889025629396,0.0696391324657207,0.942,5.9637980252478,4.68058652886963,NA,NA,1.952,0.916212066147297,0.974541016093996,203.406,1.74434952948861,80
"grid","dgp1",600,20,500,5,2,0.131749833958373,"SSRF",1.21042908160011,0.819472188942347,0.068646140731578,0.942,5.96396695387676,4.68284574446575,-3.32884356851491,0.000903929777535966,1.952,0.916212066147297,0.974541016093996,203.406,1.74434952948861,80
"grid","dgp1",600,20,500,5,2,0.131749833958373,"SSRF-naive",1.21472007781037,0.821673872638334,0.0722420271479571,0.944,5.95277800395216,4.69716429907314,1.87673868103626,0.0608452130371194,1.952,0.916212066147297,0.974541016093996,203.406,1.74434952948861,80
"grid","dgp1",600,20,500,5,2,0.131749833958373,"SSRF-rob",1.21684222499101,0.822788548015571,0.0740668728553533,0.948,5.95057777322999,4.69566958692602,2.22018035333396,0.0266303111782366,3.372,0.916212066147297,0.974541016093996,203.406,1.74434952948861,80
"grid","dgp1",600,20,500,5,2,0.131749833958373,"RF-H",1.20877675169191,0.81310733132748,0.0737742501307577,0.94,6.07016233094562,4.5757449323217,-0.166655506167385,0.867674841241004,1.035,0.916212066147297,0.974541016093996,203.406,1.74434952948861,80
"grid","dgp1",600,20,500,5,2,0.131749833958373,"SSRF-JS-H",1.28056760984163,0.839802127729436,0.148056361618995,0.944,6.31438985053357,4.67638259418034,2.57113464665655,0.0102803408362706,1.035,0.916212066147297,0.974541016093996,203.406,1.74434952948861,80
"grid","dgp1",600,20,500,5,2,0.131749833958373,"RidgeRF",1.23657287139258,0.828674783123184,0.08793338925249,0.952,5.94529243269884,4.73009408419868,1.73443940904716,0.0831486036428721,1.258,0.916212066147297,0.974541016093996,203.406,1.74434952948861,80
"grid","dgp1",600,20,500,5,2,0.131749833958373,"LassoRF",1.28550191378656,0.8529296624517,0.109545199395662,0.95,5.99582289453932,4.78202506249371,3.71980039801254,0.000210484261402678,0.40100000000001,0.916212066147297,0.974541016093996,203.406,1.74434952948861,80
"grid","dgp1",600,20,500,5,2,0.131749833958373,"GBM",1.21349675619234,0.813878429756791,0.0715095774282496,0.95,6.10354983580442,4.64999730708364,0.117870245672475,0.906194163424783,0.190999999999988,0.916212066147297,0.974541016093996,203.406,1.74434952948861,80
"grid","dgp1",600,20,500,5,2,0.131749833958373,"RF-tuned",1.20118209487538,0.816109416233504,0.063133193853736,0.946,5.9076459516661,4.71615063171458,-1.58130698990857,0.114124393775777,2.62400000000001,0.916212066147297,0.974541016093996,203.406,1.74434952948861,80
"grid","dgp1",600,20,500,5,2,0.131749833958373,"SSRF-tuned",1.19928984828872,0.815036619955823,0.0613612653644979,0.944,5.92303754745115,4.6884653872172,-1.73572494603016,0.0829208204499988,3.703,0.916212066147297,0.974541016093996,203.406,1.74434952948861,80
"grid","dgp1",1200,20,10,5,1,0.11909898579311,"RF",1.43603567004875,0.909874951515302,0.213669119496156,0.955,6.54711631557004,4.95829140963083,7.37230853374869,3.11713198370941e-13,0.0749999999999886,0.903789551215637,0.971221937394754,408.3,1.7398914321333,80
"grid","dgp1",1200,20,10,5,1,0.11909898579311,"SSRF-JS",1.407539788464,0.90019285368927,0.186793897998326,0.956666666666667,6.49055429173664,4.90323960984495,NA,NA,0.0749999999999886,0.903789551215637,0.971221937394754,408.3,1.7398914321333,80
"grid","dgp1",1200,20,10,5,1,0.11909898579311,"SSRF",1.40459923067813,0.898798189003559,0.181959698774526,0.956666666666667,6.49524169488715,4.91432726677096,-2.15249286014354,0.0315576213278246,0.0749999999999886,0.903789551215637,0.971221937394754,408.3,1.7398914321333,80
"grid","dgp1",1200,20,10,5,1,0.11909898579311,"SSRF-naive",1.42419787404879,0.905750190557276,0.201387454414023,0.956666666666667,6.52050397217453,4.9520520640496,6.72523897311471,2.70686571859331e-11,0.0749999999999886,0.903789551215637,0.971221937394754,408.3,1.7398914321333,80
"grid","dgp1",1200,20,10,5,1,0.11909898579311,"SSRF-rob",1.43372501104813,0.909067942938635,0.211485323797187,0.955,6.54189291441897,4.95145624259078,7.3129414934073,4.76609701527889e-13,0.11699999999999,0.903789551215637,0.971221937394754,408.3,1.7398914321333,80
