"experiment","dgp","n","p","B","min_leaf","rep","method","mse","mae","mse_true","lambda","leaves","n_eff","snr"
"substitution","dgp1",600,10,5,5,2,"SSRF-JS",1.50586503224031,0.903948641194283,0.244281400732754,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,5,5,2,"SSRF",1.49544425713046,0.90034190957792,0.236232847299661,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,10,5,2,"RF",1.47611194421316,0.883345071197389,0.185555819466993,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,10,5,2,"SSRF-JS",1.44464724670433,0.871377060238877,0.15893653690639,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,10,5,2,"SSRF",1.43963585655661,0.869896007701278,0.154957703012584,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,25,5,2,"RF",1.40086987664578,0.860616162380651,0.125129101143876,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,25,5,2,"SSRF-JS",1.38337937578067,0.853337911937727,0.110490849419286,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,25,5,2,"SSRF",1.38141387506056,0.852844782947393,0.10840451797992,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,50,5,2,"RF",1.39485064572507,0.854161380179944,0.11096576734952,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,50,5,2,"SSRF-JS",1.37857680506045,0.847786058187073,0.0987042642512048,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,50,5,2,"SSRF",1.37739840741809,0.847376361968341,0.0970133129120352,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,100,5,2,"RF",1.38600106040178,0.851934544754852,0.104337669598758,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,100,5,2,"SSRF-JS",1.37154356394603,0.846002485317465,0.0938601973661162,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,100,5,2,"SSRF",1.36963453783506,0.845225559197047,0.0923496257232328,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,250,5,2,"RF",1.37138124391553,0.844720993202428,0.094286771045182,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,250,5,2,"SSRF-JS",1.35922584100717,0.840061757921984,0.0855395537101646,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,250,5,2,"SSRF",1.35757436561937,0.839576179724364,0.0844683411843475,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,500,5,2,"RF",1.36754480463511,0.844294417759675,0.0886677062050559,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,500,5,2,"SSRF-JS",1.35610878112327,0.839736521528369,0.0809509790263902,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,500,5,2,"SSRF",1.35453186816599,0.839212621405946,0.080044344777763,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,1,20,1,"RF",1.9764523229567,1.0819592532477,0.690426605798926,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,1,20,1,"SSRF-JS",1.7937488676163,1.02292977610883,0.503289481476142,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,1,20,1,"SSRF",1.73404301731011,1.00529087237882,0.428993965977135,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,3,20,1,"RF",1.65352644878067,0.966968693733155,0.361023609575801,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,3,20,1,"SSRF-JS",1.58635924955012,0.943550803798895,0.291672261771122,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,3,20,1,"SSRF",1.54707144640794,0.928478269475199,0.239120011602158,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,5,20,1,"RF",1.52728337852188,0.925085738011079,0.245709821759465,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,5,20,1,"SSRF-JS",1.47812632890898,0.905055894868092,0.192776322738486,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,5,20,1,"SSRF",1.45740566683408,0.895757095040778,0.159162026056736,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,10,20,1,"RF",1.46524116430554,0.89772814653203,0.167234574671879,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,10,20,1,"SSRF-JS",1.42965451392976,0.883239038616736,0.129866691672253,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,10,20,1,"SSRF",1.42092738019971,0.879595017620093,0.112202388436707,0.874523396414685,67.092,4.78294321677064,0.110250640196824
"substitution","dgp1",600,10,25,20,1,"RF",1.4107403965214,0.875944145449102,0.109575357142005,0.874523396414685,67.092,4.78294321677064,0.110250640196824
