"dgp","n","p","B","method","mse_true","se","cov","isc","rt"
"dgp2",600,20,500,"SSRF-naive",0.0384985972242213,NA,0.941,5.15168077905955,1.72400000000002
"dgp2",600,20,500,"SSRF-rob",0.0393581861224279,NA,0.942,5.15143732053035,3.18300000000005
"dgp2",600,20,500,"SSRF-tuned",0.0310321325118767,NA,0.944,5.15120473394324,3.61350000000002
"dgp2",1200,20,10,"GBM",0.0227229137656429,NA,0.945,5.02988824491159,0.212499999999977
"dgp2",1200,20,10,"LassoRF",0.085210531163213,NA,0.94,5.13637195948953,0.0595000000000141
"dgp2",1200,20,10,"RF",0.0788670712154508,NA,0.936666666666667,5.13674925970951,0.0715000000000146
"dgp2",1200,20,10,"RF-H",0.0651575030817633,NA,0.935,5.08573708611396,0.0384999999999707
"dgp2",1200,20,10,"RF-tuned",0.0460795379462831,NA,0.944166666666667,5.02761641711231,4.88650000000001
"dgp2",1200,20,10,"RidgeRF",0.0916497048366419,NA,0.940833333333333,5.19079733210231,0.10499999999999
"dgp2",1200,20,10,"SSRF",0.0691563650693544,NA,0.936666666666667,5.09520563107764,0.0715000000000146
"dgp2",1200,20,10,"SSRF-JS",0.0705568776761591,NA,0.939166666666667,5.09979927840812,0.0715000000000146
"dgp2",1200,20,10,"SSRF-JS-H",0.0854159927200572,NA,0.945,5.08121091512493,0.0384999999999707
"dgp2",1200,20,10,"SSRF-naive",0.0750551391287427,NA,0.935833333333333,5.11603452012675,0.0715000000000146
"dgp2",1200,20,10,"SSRF-rob",0.0778068731161826,NA,0.935833333333333,5.13235716271936,0.11050000000003
"dgp2",1200,20,10,"SSRF-tuned",0.0431473125969479,NA,0.940833333333333,5.12730048959621,4.93049999999999
"dgp2",1200,20,500,"GBM",0.0239479835444958,NA,0.9575,4.73432628204853,0.35299999999998
"dgp2",1200,20,500,"LassoRF",0.0322632341484721,NA,0.951666666666667,4.7908150937494,0.999500000000012
"dgp2",1200,20,500,"RF",0.0282664599311881,NA,0.953333333333333,4.76613084281117,3.81950000000001
"dgp2",1200,20,500,"RF-H",0.0365440156025556,NA,0.956666666666667,4.77201413224099,1.95249999999999
"dgp2",1200,20,500,"RF-tuned",0.0222232388267448,NA,0.95,4.75929576660499,6.89000000000001
"dgp2",1200,20,500,"RidgeRF",0.0369869135451067,NA,0.949166666666667,4.74399204023375,2.95100000000002
"dgp2",1200,20,500,"SSRF",0.0273006359939191,NA,0.953333333333333,4.76204618935167,3.81950000000001
"dgp2",1200,20,500,"SSRF-JS",0.0275134235203227,NA,0.953333333333333,4.76170046487126,3.81950000000001
"dgp2",1200,20,500,"SSRF-JS-H",0.0838043737560243,NA,0.9575,4.80664638303893,1.95249999999999
"dgp2",1200,20,500,"SSRF-naive",0.0277852918711145,NA,0.9525,4.76404793838965,3.81950000000001
"dgp2",1200,20,500,"SSRF-rob",0.0281339023180643,NA,0.9525,4.76547246009733,5.92750000000001
"dgp2",1200,20,500,"SSRF-tuned",0.0220189288013604,NA,0.9525,4.74884219147554,9.42100000000002
"dgp2",2000,24,10,"GBM",0.0183852074535554,NA,0.952,4.46317295235299,0.385500000000008
"dgp2",2000,24,10,"LassoRF",0.0997677787024389,NA,0.9535,4.58893858178007,0.0749999999999886
"dgp2",2000,24,10,"RF",0.0943233738016553,NA,0.951,4.54573487222739,0.16549999999998
"dgp2",2000,24,10,"RF-H",0.0637767958222164,NA,0.95,4.56464960371403,0.0644999999999811
"dgp2",2000,24,10,"RF-tuned",0.0511364257872317,NA,0.948,4.56676513503652,11.5325
"dgp2",2000,24,10,"RidgeRF",0.10852858931918,NA,0.948,4.49228702401913,0.21750000000003
"dgp2",2000,24,10,"SSRF",0.0811943803804524,NA,0.953,4.53219250240841,0.16549999999998
"dgp2",2000,24,10,"SSRF-JS",0.0834264356820636,NA,0.9515,4.53329555312332,0.16549999999998
"dgp2",2000,24,10,"SSRF-JS-H",0.0825369503217837,NA,0.9505,4.64232819294507,0.0644999999999811
"dgp2",2000,24,10,"SSRF-naive",0.0891895352081466,NA,0.9525,4.5404333709098,0.16549999999998
"dgp2",2000,24,10,"SSRF-rob",0.0932633433995451,NA,0.951,4.54447513610979,0.221499999999992
"dgp2",2000,24,10,"SSRF-tuned",0.0469781582105483,NA,0.952,4.53859602796068,11.6425
"dgp2",2000,24,500,"GBM",0.0285637223110285,NA,0.954,4.50845045810206,0.677999999999997
"dgp2",2000,24,500,"LassoRF",0.052871734526446,NA,0.958,4.54186220756025,2.20449999999997
"dgp2",2000,24,500,"RF",0.0274046560332949,NA,0.955,4.55227843554926,10.834
"dgp2",2000,24,500,"RF-H",0.0307924345532374,NA,0.9505,4.56008947969792,3.19049999999999
"dgp2",2000,24,500,"RF-tuned",0.0201353556189011,NA,0.9545,4.52053203589761,16.304
"dgp2",2000,24,500,"RidgeRF",0.0352992908102488,NA,0.95,4.57172398679254,7.6225
"dgp2",2000,24,500,"SSRF",0.0258389734090113,NA,0.9505,4.54540054406677,10.834
"dgp2",2000,24,500,"SSRF-JS",0.0261063586450665,NA,0.9505,4.54569509166467,10.834
"dgp2",2000,24,500,"SSRF-JS-H",0.0799432179308181,NA,0.948,4.69322277121271,3.19049999999999
"dgp2",2000,24,500,"SSRF-naive",0.0267133131252281,NA,0.954,4.54913649388121,10.834
"dgp2",2000,24,500,"SSRF-rob",0.0272479795149432,NA,0.955,4.55215833715199,13.704
"dgp2",2000,24,500,"SSRF-tuned",0.0206935381275745,NA,0.95,4.51947012343182,21.1835
"dgp3",300,10,10,"GBM",0.116194382747549,NA,0.923,7.49464851323863,0.0375000000000227
"dgp3",300,10,10,"LassoRF",0.147338756336797,NA,0.942,7.45866792478816,0.0375000000000227
"dgp3",300,10,10,"RF",0.151832086615429,NA,0.936,7.34243022910692,0.0124999999999318
"dgp3",300,10,10,"RF-H",0.116739371763192,NA,0.924,7.43755407047879,0.0124999999999886
"dgp3",300,10,10,"RF-tuned",0.100401826768066,NA,0.93,7.53157411171378,0.447000000000003
"dgp3",300,10,10,"RidgeRF",0.152902476248994,NA,0.931,7.19398754204929,0.0374999999999659
"dgp3",300,10,10,"SSRF",0.122420879164782,NA,0.933,7.30824490543141,0.0124999999999318
"dgp3",300,10,10,"SSRF-JS",0.127604010566649,NA,0.936,7.3040274140165,0.0124999999999318
"dgp3",300,10,10,"SSRF-JS-H",0.17559165320917,NA,0.926,7.52128506215922,0.0124999999999886
"dgp3",300,10,10,"SSRF-naive",0.139417186378411,NA,0.936,7.32240395921928,0.0124999999999318
"dgp3",300,10,10,"SSRF-rob",0.149607722421395,NA,0.938,7.3378048363081,0.0394999999999186
"dgp3",300,10,10,"SSRF-tuned",0.0918523486825005,NA,0.929,7.40291999964767,0.454499999999939
"dgp3",300,10,500,"GBM",0.0804223414474025,NA,0.945,7.1802320155271,0.0579999999999927
"dgp3",300,10,500,"LassoRF",0.0916760940045995,NA,0.946,7.2049777492272,0.190499999999929
"dgp3",300,10,500,"RF",0.0765534458248874,NA,0.943,7.24973981056589,0.571999999999946
"dgp3",300,10,500,"RF-H",0.0799009547929596,NA,0.947,7.20741825377688,0.634000000000015
"dgp3",300,10,500,"RF-tuned",0.0737523089294484,NA,0.944,7.2651466434489,0.678000000000054
"dgp3",300,10,500,"RidgeRF",0.0839971533872895,NA,0.948,7.08356891266163,0.325500000000034
"dgp3",300,10,500,"SSRF",0.072379040646712,NA,0.946,7.22436154354637,0.571999999999946
"dgp3",300,10,500,"SSRF-JS",0.0736458379462961,NA,0.945,7.227872646052,0.571999999999946
"dgp3",300,10,500,"SSRF-JS-H",0.157450721227715,NA,0.945,7.31772738569833,0.634000000000015
"dgp3",300,10,500,"SSRF-naive",0.0742105491689918,NA,0.943,7.24156884550142,0.571999999999946
"dgp3",300,10,500,"SSRF-rob",0.0761215285520596,NA,0.943,7.24810774284565,1.71199999999988
"dgp3",300,10,500,"SSRF-tuned",0.0697360569907009,NA,0.943,7.22724625998709,1.178
"dgp3",600,20,10,"GBM",0.0672633525578727,NA,0.945,6.23539339077587,0.115999999999985
"dgp3",600,20,10,"LassoRF",0.225913843223753,NA,0.93,6.72030162334143,0.0380000000000109
"dgp3",600,20,10,"RF",0.140466543322816,NA,0.945,6.39961947941969,0.0360000000000014
"dgp3",600,20,10,"RF-H",0.130386841019621,NA,0.943,6.29815461692795,0.0264999999999986
"dgp3",600,20,10,"RF-tuned",0.0905806840757031,NA,0.939,6.37245231858797,2.21050000000002
"dgp3",600,20,10,"RidgeRF",0.149244868973533,NA,0.943,6.32223885731867,0.0620000000000118
"dgp3",600,20,10,"SSRF",0.121864478467052,NA,0.946,6.36352236650649,0.0360000000000014
"dgp3",600,20,10,"SSRF-JS",0.125803487102926,NA,0.945,6.36670584124078,0.0360000000000014
"dgp3",600,20,10,"SSRF-JS-H",0.174029284796323,NA,0.938,6.39006964711856,0.0264999999999986
"dgp3",600,20,10,"SSRF-naive",0.133258201228587,NA,0.946,6.3832106397202,0.0360000000000014
"dgp3",600,20,10,"SSRF-rob",0.139568681092209,NA,0.945,6.39940641424535,0.0675000000000523
"dgp3",600,20,10,"SSRF-tuned",0.0844379148753455,NA,0.946,6.265132813999,2.23400000000004
"dgp3",600,20,500,"GBM",0.073648113039379,NA,0.936,5.76798336297304,0.185000000000059
"dgp3",600,20,500,"LassoRF",0.132262851265704,NA,0.936,6.02843493922471,0.388499999999965
"dgp3",600,20,500,"RF",0.0596873118784981,NA,0.931,5.88935868552586,1.65200000000004
"dgp3",600,20,500,"RF-H",0.0815966808919327,NA,0.933,5.7989346638771,1.03950000000003
"dgp3",600,20,500,"RF-tuned",0.056073363540999,NA,0.933,5.85564632308304,2.79199999999997
"dgp3",600,20,500,"RidgeRF",0.0721641604177208,NA,0.933,5.7559759946523,1.25100000000003
"dgp3",600,20,500,"SSRF",0.0610683560700311,NA,0.932,5.86573377134082,1.65200000000004
"dgp3",600,20,500,"SSRF-JS",0.0619008699207407,NA,0.932,5.8680671888139,1.65200000000004
"dgp3",600,20,500,"SSRF-JS-H",0.158887654937731,NA,0.929,5.90655261858279,1.03950000000003
"dgp3",600,20,500,"SSRF-naive",0.0596590903899771,NA,0.931,5.88148942495748,1.65200000000004
"dgp3",600,20,500,"SSRF-rob",0.0597434043555766,NA,0.931,5.89135027615419,3.12649999999996
"dgp3",600,20,500,"SSRF-tuned",0.0590740937431782,NA,0.931,5.87625313476521,3.71549999999996
"dgp3",1200,20,10,"GBM",0.0565776076109779,NA,0.950833333333333,6.60701627707257,0.221499999999992
"dgp3",1200,20,10,"LassoRF",0.174079317923672,NA,0.9425,6.6676331308122,0.0589999999999691
"dgp3",1200,20,10,"RF",0.142192520459688,NA,0.944166666666667,6.63807149413231,0.0844999999999914
"dgp3",1200,20,10,"RF-H",0.107141695542589,NA,0.948333333333333,6.6406733870309,0.0365000000000464
"dgp3",1200,20,10,"RF-tuned",0.0786668317586293,NA,0.950833333333333,6.5224103772092,5.68399999999997
"dgp3",1200,20,10,"RidgeRF",0.294257891251333,NA,0.958333333333333,7.0973593971618,0.112500000000068
"dgp3",1200,20,10,"SSRF",0.116674414442396,NA,0.946666666666667,6.62727119389574,0.0844999999999914
"dgp3",1200,20,10,"SSRF-JS",0.121470801040499,NA,0.945833333333333,6.63437658426145,0.0844999999999914
"dgp3",1200,20,10,"SSRF-JS-H",0.153349362191492,NA,0.955833333333333,6.78916984502961,0.0365000000000464
"dgp3",1200,20,10,"SSRF-naive",0.13187795178141,NA,0.945833333333333,6.64725605939671,0.0844999999999914
"dgp3",1200,20,10,"SSRF-rob",0.141325705700253,NA,0.944166666666667,6.63935273616075,0.129500000000007
"dgp3",1200,20,10,"SSRF-tuned",0.075549277616323,NA,0.951666666666667,6.52917877130251,5.74399999999997
"dgp3",1200,20,500,"GBM",0.0638522849313489,NA,0.961666666666667,7.62449151867612,0.347500000000025
"dgp3",1200,20,500,"LassoRF",0.0886219585820321,NA,0.96,7.76535504046418,1.0455
"dgp3",1200,20,500,"RF",0.0630477059861926,NA,0.956666666666667,7.68427815991162,3.97649999999999
"dgp3",1200,20,500,"RF-H",0.0560786773936931,NA,0.959166666666667,7.63639944068343,1.80200000000002
"dgp3",1200,20,500,"RF-tuned",0.0545612895521691,NA,0.958333333333333,7.68213217157018,7.25249999999994
"dgp3",1200,20,500,"RidgeRF",0.100958082312298,NA,0.9625,7.83736934448429,3.142
"dgp3",1200,20,500,"SSRF",0.0587045409231009,NA,0.959166666666667,7.6854353912443,3.97649999999999
"dgp3",1200,20,500,"SSRF-JS",0.0601533420036511,NA,0.959166666666667,7.68646720626118,3.97649999999999
"dgp3",1200,20,500,"SSRF-JS-H",0.145153571504188,NA,0.963333333333333,7.77013480297282,1.80200000000002
"dgp3",1200,20,500,"SSRF-naive",0.0607597913506746,NA,0.9575,7.68443593344578,3.97649999999999
"dgp3",1200,20,500,"SSRF-rob",0.0628918189120632,NA,0.956666666666667,7.6847660315207,6.16499999999996
"dgp3",1200,20,500,"SSRF-tuned",0.0546659928373392,NA,0.96,7.64524157520115,9.41199999999998
"dgp3",2000,24,10,"GBM",0.0574140825180111,NA,0.96,5.9841510598162,0.436499999999967
